node,,name,xvalue,yvalue
1,,종로구,126.9788345,37.5735207
2,,중구,126.997602,37.563843
3,,용산구,126.99049,37.532527
4,,성동구,127.036821,37.563456
5,,광진구,127.082375,37.538617
6,,동대문구,127.03965,37.574524
7,,중량구,127.0925842,37.6063242
8,,성북구,127.016749,37.5894
9,,강북구,127.0256135,37.6397819
10,,도봉구,127.047163,37.668768
11,,노원구,127.056473,37.654358
12,,은평구,126.929164,37.602784
13,,서대문구,126.9368,37.579225
14,,마포구,126.901491,37.5663245
15,,양천구,126.866642,37.517016
16,,강서구,126.849642,37.550937
17,,구로구,126.887536,37.495472
18,,금천구,126.8955105,37.4568644
19,,영등포구,126.896004,37.526436
20,,동작구,126.9395,37.51245
21,,관악구,126.9514847,37.4781549
22,,서초구,127.032598,37.483569
23,,강남구,127.047502,37.517305
24,,송파구,127.1059186,37.5145636
25,,강동구,127.1237708,37.530126
26,부산,중구,129.032352,35.106214
27,,서구,129.0244125,35.0979321
28,,동구,129.0453253,35.1292746
29,,영도구,129.067875,35.091199
30,,부산진구,129.053157,35.162913
31,,동래구,129.0938569,35.1964382
32,,남구,129.084163,35.136577
33,,북구,128.990438,35.197185
34,,해운대구,129.163634,35.163177
35,,사하구,128.974817,35.104585
36,,금정구,129.0921,35.243068
37,,강서구,128.98045,35.2122179
38,,연제구,129.079764,35.176242
39,,수영구,129.113186,35.145694
40,,사상구,128.99125,35.152624
41,,기장군,129.222312,35.244498
42,대구,중구,128.6062,35.8693404
43,,동구,128.635609,35.886664
44,,서구,128.559175,35.871757
45,,남구,128.597486,35.846
46,,북구,128.582947,35.885684
47,,수성구,128.630625,35.8581654
48,,달서구,128.5327375,35.8298667
49,,달성군,128.431445,35.7746
50,인천,중구,126.621588,37.473781
51,,동구,126.6432125,37.4738846
52,,미추홀구,126.6505841,37.4635229
53,,연수구,126.67828,37.4101675
54,,남동구,126.731488,37.447342
55,,부평구,126.7218378,37.5070563
56,,계양구,126.7377757,37.5374147
